e14-base-loss0-mc0-r1	52.24	79.0	0	1.119	1388.8	12	0	10.7	10	1.0	1.0	0	0	88881	
e14-base-loss0-mc0-r2	228.96	225.0	0	1.083	1344.7	12	0	2.8	0	0.0	0.0	0	0	86060	
e14-loss0.001-mc0-r1	27.61	68.0	0	1.101	1366.5	12	0.001	19.9	0	0.0	0.0	0	0	87459	
e14-loss0.001-mc2MiB-r1	224.23	367.0	2097152	1.379	1712.0	12	0.001	2.8	0	0.0	0.0	0	0	109571	
e14-loss0.001-mc4MiB-r1	222.31	524.0	4194304	1.372	1703.3	12	0.001	2.9	9	0.9	0.1	0	0	109012	
e14-loss0.001-mc8MiB-r1	230.58	456.0	8388608	1.398	1735.2	12	0.001	2.9	8	0.8	0.1	0	0	111053	
e14-loss0.0002-mc0-r1	73.81	220.0	0	1.102	1367.6	12	0.0002	7.7	0	0.0	0.0	0	0	87528	
e14-loss0.0002-mc2MiB-r1	229.00	336.0	2097152	1.198	1486.6	12	0.0002	2.7	1	0.1	0.1	0	0	95143	
e14-loss0.0002-mc4MiB-r1	227.40	467.0	4194304	1.265	1570.5	12	0.0002	2.8	5	0.5	0.1	0	0	100514	
e14-loss0.0002-mc8MiB-r1	216.01	472.0	8388608	1.293	1604.7	12	0.0002	2.9	7	0.7	0.2	0	0	102701	
e14-loss0.001-mc0-r2	27.65	105.0	0	1.110	1378.0	12	0.001	19.9	9	0.9	0.9	0	0	88191	
e14-loss0.001-mc2MiB-r2	224.98	367.0	2097152	1.377	1708.7	12	0.001	2.8	0	0.0	0.0	0	0	109354	
e14-loss0.001-mc4MiB-r2	149.58	430.0	4194304	1.407	1746.1	12	0.001	4.8	16	1.6	1.1	0	0	111752	
e14-loss0.001-mc8MiB-r2	223.71	388.0	8388608	1.390	1725.1	12	0.001	2.8	3	0.3	0.1	0	0	110409	
e14-loss0.0002-mc0-r2	57.34	142.0	0	1.096	1360.0	12	0.0002	9.8	0	0.0	0.0	0	0	87041	
e14-loss0.0002-mc2MiB-r2	228.19	362.0	2097152	1.204	1494.5	12	0.0002	2.7	1	0.1	0.1	0	0	95645	
e14-loss0.0002-mc4MiB-r2	226.19	482.0	4194304	1.233	1530.3	12	0.0002	2.8	5	0.5	0.1	0	0	97941	
e14-loss0.0002-mc8MiB-r2	205.08	440.0	8388608	1.254	1556.3	12	0.0002	3.0	7	0.7	0.2	0	0	99604	
e14-loss0.001-mc0-r3	28.37	68.0	0	1.099	1364.7	12	0.001	19.4	0	0.0	0.0	0	0	87340	
e14-loss0.001-mc2MiB-r3	165.08	330.0	2097152	1.389	1723.8	12	0.001	3.7	10	1.0	1.0	0	0	110320	
e14-loss0.001-mc4MiB-r3	218.79	440.0	4194304	1.380	1712.4	12	0.001	2.8	6	0.6	0.2	0	0	109596	
e14-loss0.001-mc8MiB-r3	223.47	430.0	8388608	1.394	1730.5	12	0.001	2.8	7	0.7	0.1	0	0	110751	
e14-loss0.0002-mc0-r3	61.05	225.0	0	1.102	1368.2	12	0.0002	9.3	0	0.0	0.0	0	0	87563	
e14-loss0.0002-mc2MiB-r3	217.92	304.0	2097152	1.162	1442.1	12	0.0002	2.9	2	0.2	0.1	0	0	92296	
e14-loss0.0002-mc4MiB-r3	226.38	409.0	4194304	1.313	1630.4	12	0.0002	2.8	4	0.4	0.1	0	0	104345	
e14-loss0.0002-mc8MiB-r3	214.35	446.0	8388608	1.244	1544.8	12	0.0002	2.9	5	0.5	0.2	0	0	98864	
e14-loss0-mc2MiB-r1	231.26	225.0	2097152	1.083	1344.8	12	0	2.8	0	0.0	0.0	0	0	86064	
e14-loss0-mc8MiB-r1	231.27	225.0	8388608	1.083	1344.7	12	0	2.8	0	0.0	0.0	0	0	86061	
e14-tail-loss0-mc0-r1	228.78	225.0	0	1.083	1344.7	12	0	2.8	0	0.0	0.0	0	0	86062	
e14-tail-loss0-mc0-r2	229.03	225.0	0	1.083	1344.7	12	0	2.8	0	0.0	0.0	0	0	86061	
e14-tail-loss0.001-mc0-r4	25.93	52.0	0	1.099	1364.0	12	0.001	21.1	0	0.0	0.0	0	0	87299	
e14-tail-loss0.001-mc8MiB-r4	224.81	509.0	8388608	1.372	1703.5	12	0.001	2.8	6	0.6	0.1	0	0	109023	
e14-loss0.009-mc0-r1	8.35	52.0	0	1.135	1409.1	12	0.009	64.7	52	5.2	1.0	0	0	90183	
e14-loss0.009-mc2MiB-r1	58.85	372.0	2097152	1.767	2193.0	12	0.009	9.5	59	5.9	1.9	0	0	140351	
e14-loss0.009-mc4MiB-r1	157.40	336.0	4194304	1.808	2243.9	12	0.009	3.8	3	0.3	0.1	0	0	143608	
e14-loss0.009-mc8MiB-r1	68.09	377.0	8388608	1.517	1883.0	12	0.009	8.3	48	4.8	1.1	0	0	120511	
e14-loss0.009-mc0-r2	8.17	37.0	0	1.136	1410.6	12	0.009	66.6	51	5.1	1.0	0	0	90277	
e14-loss0.009-mc2MiB-r2	112.00	315.0	2097152	1.665	2067.2	12	0.009	5.2	19	1.9	1.0	0	0	132304	
e14-loss0.009-mc4MiB-r2	69.75	372.0	4194304	1.576	1955.8	12	0.009	8.1	50	5.0	0.9	882	0	125174	
e14-loss0.009-mc8MiB-r2	60.97	377.0	8388608	1.542	1913.8	12	0.009	9.6	61	6.1	1.0	0	0	122484	
