| e23-sanity-raw-rtt71 | raw | 71 | uncap | 10.72 | 2.3065 | 0.0921 | 0.0483 | 33554432 | 43736 | 0 | 68.7397 | 22.8 |
| e23-sanity-raw-rtt71-b | raw | 71 | uncap | 13.72 | 2.2258 | 0.1137 | 0.0569 | 33554432 | 44437 | 0 | 66.3331 | 75.6 |
| e23-prod-rtt12-cap10MB-r1 | prod | 12 | 10MB | 74.93 | 4.1944 | 0.5854 | 0.2917 | 67108864 | 86068 | 0 | 62.5015 | 81.6 |
| e23-raw64-rtt12-cap10MB-r1 | raw | 12 | 10MB | 74.85 | 3.6220 | 0.5050 | 0.2643 | 67108864 | 86063 | 0 | 53.9723 | 81.6 |
| e23-prod-rtt71-cap10MB-r1 | prod | 71 | 10MB | 72.97 | 3.8394 | 0.5218 | 0.2597 | 67108864 | 86071 | 0 | 57.2112 | 81.8 |
| e23-raw64-rtt71-cap10MB-r1 | raw | 71 | 10MB | 72.50 | 3.2946 | 0.4449 | 0.2267 | 67108864 | 86067 | 0 | 49.0935 | 86.0 |
| e23-prod-rtt12-cap10MB-r2 | prod | 12 | 10MB | 74.80 | 3.4596 | 0.4820 | 0.2401 | 67108864 | 86223 | 0 | 51.5526 | 82.8 |
| e23-raw64-rtt12-cap10MB-r2 | raw | 12 | 10MB | 51.61 | 3.3335 | 0.3204 | 0.1253 | 67108864 | 86846 | 0 | 49.6729 | 73.6 |
| e23-prod-rtt71-cap10MB-r2 | prod | 71 | 10MB | 72.95 | 3.7038 | 0.5033 | 0.2509 | 67108864 | 86070 | 0 | 55.1916 | 84.8 |
| e23-raw64-rtt71-cap10MB-r2 | raw | 71 | 10MB | 18.71 | 4.0413 | 0.1408 | 0.0635 | 67108864 | 87868 | 0 | 60.2197 | 96.4 |
| e23-prod-rtt12-cap10MB-r3 | prod | 12 | 10MB | 74.93 | 4.1912 | 0.5850 | 0.3015 | 67108864 | 86069 | 0 | 62.4531 | 89.0 |
| e23-raw64-rtt12-cap10MB-r3 | raw | 12 | 10MB | 74.86 | 3.4645 | 0.4831 | 0.2631 | 67108864 | 86063 | 0 | 51.6246 | 81.6 |
| e23-prod-rtt71-cap10MB-r3 | prod | 71 | 10MB | 72.96 | 3.6006 | 0.4893 | 0.2459 | 67108864 | 86070 | 0 | 53.6529 | 82.6 |
| e23-raw64-rtt71-cap10MB-r3 | raw | 71 | 10MB | 12.45 | 4.3495 | 0.1009 | 0.0426 | 67108864 | 86905 | 0 | 64.8124 | 34.4 |
