e5-base-rtt12-r1	228.85	225.0	0	0	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-base-rtt12-r2	229.08	225.0	0	0	0	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-base-rtt12-r3	229.08	225.0	0	0	0	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-base-rtt71-r1	204.27	294.0	0	0	0	71	0	3.7	0	0.0	0.0	0	0	85892	
e5-base-rtt71-r2	24.05	152.0	0	0	0	71	0	23.4	3	0.3	0.1	0	0	89218	
e5-base-rtt71-r3	203.89	294.0	0	0	0	71	0	3.7	1	0.1	0.1	0	0	87845	
e5-fw16KiB-rtt12-r1	226.92	225.0	16384	0	0	12	0	2.8	1	0.1	0.1	0	0	88324	
e5-fw16KiB-rtt12-r2	229.04	225.0	16384	0	0	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-fw16KiB-rtt71-r1	198.97	299.0	16384	0	0	71	0	3.7	2	0.2	0.2	0	0	87553	
e5-fw16KiB-rtt71-r2	27.47	204.0	16384	0	0	71	0	20.6	2	0.2	0.1	0	0	89108	
e5-fw1MiB-rtt12-r1	228.93	225.0	1048576	0	0	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-fw1MiB-rtt12-r2	228.97	225.0	1048576	0	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-fw1MiB-rtt71-r1	204.24	273.0	1048576	0	0	71	0	3.7	0	0.0	0.0	0	0	85929	
e5-fw1MiB-rtt71-r2	43.25	246.0	1048576	0	0	71	0	13.5	0	0.0	0.0	0	0	89544	
e5-fw256KiB-rtt12-r1	229.04	225.0	262144	0	0	12	0	2.8	0	0.0	0.0	0	0	86063	
e5-fw256KiB-rtt12-r2	229.04	225.0	262144	0	0	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-fw256KiB-rtt71-r1	204.31	231.0	262144	0	0	71	0	3.7	0	0.0	0.0	0	0	86061	
e5-fw256KiB-rtt71-r2	203.10	288.0	262144	0	0	71	0	3.7	1	0.1	0.1	0	0	87695	
e5-fw64KiB-rtt12-r1	229.04	225.0	65536	0	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-fw64KiB-rtt12-r2	229.01	225.0	65536	0	0	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-fw64KiB-rtt71-r1	204.23	294.0	65536	0	0	71	0	3.7	0	0.0	0.0	0	0	85885	
e5-fw64KiB-rtt71-r2	204.59	262.0	65536	0	0	71	0	3.7	0	0.0	0.0	0	0	85962	
e5-loss0.0002-fw1MiB-rtt12-r1	95.68	262.0	1048576	0	0	12	0	6.0	0	0.0	0.0	0	0	89066	
e5-loss0.0002-fw1MiB-rtt12-r2	56.33	115.0	1048576	0	0	12	0	10.0	0	0.0	0.0	0	0	87124	
e5-loss0.0002-fw256KiB-rtt12-r1	74.63	136.0	262144	0	0	12	0	7.7	0	0.0	0.0	0	0	88387	
e5-loss0.0002-fw256KiB-rtt12-r2	113.18	341.0	262144	0	0	12	0	5.2	0	0.0	0.0	0	0	89955	
e5-loss0.0002-fw256KiB-rtt71-r1	15.34	131.0	262144	0	0	71	0	36.1	7	0.7	0.1	0	0	89337	
e5-loss0.0002-fw256KiB-rtt71-r2	12.83	42.0	262144	0	0	71	0	42.9	11	1.1	0.2	0	0	86773	
e5-loss0.0002-fw64KiB-rtt12-r1	83.23	336.0	65536	0	0	12	0	6.9	0	0.0	0.0	0	0	90152	
e5-loss0.0002-fw64KiB-rtt12-r2	141.84	336.0	65536	0	0	12	0	4.3	1	0.1	0.1	0	0	90336	
e5-loss0.0002-fwdefault-rtt12-r1	79.00	220.0	0	0	0	12	0	7.2	0	0.0	0.0	0	0	87664	
e5-loss0.0002-fwdefault-rtt12-r2	69.00	220.0	0	0	0	12	0	8.3	0	0.0	0.0	0	0	87688	
e5-loss0.0002-fwdefault-rtt71-r1	13.61	84.0	0	0	0	71	0	40.5	2	0.2	0.1	0	0	87693	
e5-loss0.0002-fwdefault-rtt71-r2	27.62	184.0	0	0	0	71	0	20.5	1	0.1	0.1	0	0	90182	
e5-loss0.001-fw1MiB-rtt12-r1	30.74	115.0	1048576	0	0	12	0	17.9	0	0.0	0.0	0	0	88026	
e5-loss0.001-fw1MiB-rtt12-r2	27.02	58.0	1048576	0	0	12	0	20.3	9	0.9	0.9	0	0	88729	
e5-loss0.001-fw256KiB-rtt12-r1	30.82	136.0	262144	0	0	12	0	17.9	0	0.0	0.0	0	0	87940	
e5-loss0.001-fw256KiB-rtt12-r2	32.11	73.0	262144	0	0	12	0	17.2	0	0.0	0.0	0	0	88738	
e5-loss0.001-fw256KiB-rtt71-r1	6.56	37.0	262144	0	0	71	0	82.9	108	10.8	0.2	0	0	87811	
e5-loss0.001-fw256KiB-rtt71-r2	6.26	37.0	262144	0	0	71	0	86.9	137	13.7	0.2	0	0	88064	
e5-loss0.001-fw64KiB-rtt12-r1	30.35	89.0	65536	0	0	12	0	18.1	0	0.0	0.0	0	0	87969	
e5-loss0.001-fw64KiB-rtt12-r2	29.80	52.0	65536	0	0	12	0	18.5	0	0.0	0.0	0	0	87922	
e5-loss0.001-fwdefault-rtt12-r1	27.16	47.0	0	0	0	12	0	20.2	0	0.0	0.0	0	0	87452	
e5-loss0.001-fwdefault-rtt12-r2	25.70	68.0	0	0	0	12	0	21.3	0	0.0	0.0	0	0	87451	
e5-loss0.001-fwdefault-rtt71-r1	4.69	21.0	0	0	0	71	0	115.5	321	32.1	0.5	0	0	87876	
e5-loss0.001-fwdefault-rtt71-r2	5.78	31.0	0	0	0	71	0	94.0	169	16.9	0.3	0	0	88560	
e5-mm16KiB-rtt12-r1		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm16KiB-rtt12-r2		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm16KiB-rtt71-r1		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm16KiB-rtt71-r2		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm1MiB-rtt12-r1	228.96	225.0	0	0	1048576	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-mm1MiB-rtt12-r2	228.90	225.0	0	0	1048576	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-mm1MiB-rtt71-r1	22.08	157.0	0	0	1048576	71	0	25.4	3	0.3	0.1	0	0	88098	
e5-mm1MiB-rtt71-r2	12.73	47.0	0	0	1048576	71	0	43.3	8	0.8	0.1	0	0	87406	
e5-mm256KiB-rtt12-r1	228.94	225.0	0	0	262144	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-mm256KiB-rtt12-r2	228.89	225.0	0	0	262144	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-mm256KiB-rtt71-r1	204.35	283.0	0	0	262144	71	0	3.7	0	0.0	0.0	0	0	85898	
e5-mm256KiB-rtt71-r2	25.76	252.0	0	0	262144	71	0	21.9	4	0.4	0.1	0	0	88810	
e5-mm64KiB-rtt12-r1		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm64KiB-rtt12-r2		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm64KiB-rtt71-r1		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-mm64KiB-rtt71-r2		0.0						0.0	0	0.0	0.0				timed out waiting for receiver: 0/67108864
e5-rx16MiB-rtt12-r1	228.97	225.0	0	16777216	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-rx16MiB-rtt12-r2	228.99	225.0	0	16777216	0	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-rx16MiB-rtt71-r1	187.79	288.0	0	16777216	0	71	0	4.0	1	0.1	0.1	0	0	88969	
e5-rx16MiB-rtt71-r2	204.34	225.0	0	16777216	0	71	0	3.7	0	0.0	0.0	0	0	85931	
e5-rx256KiB-rtt12-r1	228.98	225.0	0	262144	0	12	0	2.8	0	0.0	0.0	0	0	86066	
e5-rx256KiB-rtt12-r2	229.04	225.0	0	262144	0	12	0	2.8	0	0.0	0.0	0	0	86063	
e5-rx256KiB-rtt71-r1	204.55	288.0	0	262144	0	71	0	3.7	0	0.0	0.0	0	0	85923	
e5-rx256KiB-rtt71-r2	202.26	357.0	0	262144	0	71	0	3.7	1	0.1	0.1	0	0	87857	
e5-rx4MiB-rtt12-r1	228.97	225.0	0	4194304	0	12	0	2.8	0	0.0	0.0	0	0	86062	
e5-rx4MiB-rtt12-r2	229.12	225.0	0	4194304	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-rx4MiB-rtt71-r1	132.13	346.0	0	4194304	0	71	0	5.1	3	0.3	0.1	0	0	89856	
e5-rx4MiB-rtt71-r2	204.40	294.0	0	4194304	0	71	0	3.7	0	0.0	0.0	0	0	85917	
e5-rx64MiB-rtt12-r1	229.09	225.0	0	67108864	0	12	0	2.8	0	0.0	0.0	0	0	86061	
e5-rx64MiB-rtt12-r2	228.97	225.0	0	67108864	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-rx64MiB-rtt71-r1	33.39	252.0	0	67108864	0	71	0	17.1	3	0.3	0.1	0	0	89034	
e5-rx64MiB-rtt71-r2	204.27	288.0	0	67108864	0	71	0	3.7	0	0.0	0.0	0	0	85899	
e5-tail-rtt12-r1	228.93	225.0	0	0	0	12	0	2.8	0	0.0	0.0	0	0	86060	
e5-tail-rtt12-r2	53.38	79.0	0	0	0	12	0	10.5	0	0.0	0.0	0	0	87013	
e5-tail-rtt12-r3	228.72	225.0	0	0	0	12	0	2.8	0	0.0	0.0	0	0	86063	
e5-tail-rtt71-r1	13.19	79.0	0	0	0	71	0	41.8	5	0.5	0.1	0	0	88585	
e5-tail-rtt71-r2	9.87	31.0	0	0	0	71	0	55.5	21	2.1	0.1	0	0	86969	
e5-tail-rtt71-r3	9.55	26.0	0	0	0	71	0	57.3	59	5.9	1.8	0	0	88764	
e5-topup-loss0.001-fw1MiB-rtt12-r3	31.04	84.0	1048576	0	0	12	0	17.7	0	0.0	0.0	0	0	87774	
e5-topup-loss0.001-fw1MiB-rtt71-r3	6.36	26.0	1048576	0	0	71	0	85.4	138	13.8	0.2	0	0	87649	
e5-topup-loss0.001-fw256KiB-rtt12-r3	27.27	58.0	262144	0	0	12	0	20.1	0	0.0	0.0	0	0	87473	
e5-topup-loss0.001-fw256KiB-rtt71-r3	5.26	21.0	262144	0	0	71	0	103.5	233	23.3	1.1	0	0	87582	
e5-topup-loss0.001-fw64KiB-rtt12-r3	36.13	157.0	65536	0	0	12	0	15.3	9	0.9	0.9	0	0	89702	
e5-topup-loss0.001-fwdefault-rtt12-r3	35.34	84.0	0	0	0	12	0	15.6	0	0.0	0.0	0	0	88269	
e5-topup-loss0.001-fwdefault-rtt71-r3	5.16	26.0	0	0	0	71	0	105.1	247	24.7	0.3	0	0	87419	
sanity-raw-rtt71-r1	83.93	367.0	0	0	0	71	0	4.2	1	0.1	0.1	0	0	45739	
sanity-raw-rtt71-r2	10.78	22.3	0	0	0	71	0	25.9	13	1.3	1.0	0	0	44356	
